id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,mcc_type,fraud,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,card_brand,card_type,expires,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
7479444,2010-01-01 23:56:00,126,5497,0.19,Online Transaction,90999,ONLINE,ONLINE,00000,4722,No Error,Travel Agencies,1.0,63,65,1956,10,Male,5159 Wessex Avenue,34.72,-92.35,13047,26600,0,799,4,Mastercard,Debit,04/2023,YES,1,13555,2007-11-01,2011,No
7486725,2010-01-03 20:58:00,126,5497,339.0,Online Transaction,3558,ONLINE,ONLINE,00000,3640,No Error,"Lighting, Fixtures, Electrical Supplies",1.0,63,65,1956,10,Male,5159 Wessex Avenue,34.72,-92.35,13047,26600,0,799,4,Mastercard,Debit,04/2023,YES,1,13555,2007-11-01,2011,No
7490901,2010-01-04 23:30:00,720,4136,4.45,Online Transaction,24504,ONLINE,ONLINE,00000,4214,No Error,Motor Freight Carriers and Trucking,1.0,36,65,1983,5,Female,980 Federal Drive,42.38,-83.1,9710,19800,40038,682,3,Mastercard,Debit,08/2021,YES,1,974,2004-08-01,2008,No
7490914,2010-01-04 23:48:00,720,4136,7.19,Online Transaction,38602,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,36,65,1983,5,Female,980 Federal Drive,42.38,-83.1,9710,19800,40038,682,3,Mastercard,Debit,08/2021,YES,1,974,2004-08-01,2008,No
7491008,2010-01-05 02:34:00,1644,3444,8.76,Online Transaction,21776,ONLINE,ONLINE,00000,5712,No Error,"Furniture, Home Furnishings, and Equipment Stores",1.0,83,65,1937,1,Male,637 Seventh Street,34.66,-83.09,15406,31943,1248,686,6,Visa,Credit,07/2023,YES,1,10900,2009-06-01,2009,No
7502435,2010-01-07 19:12:00,126,5497,290.54,Online Transaction,3558,ONLINE,ONLINE,00000,3640,No Error,"Lighting, Fixtures, Electrical Supplies",1.0,63,65,1956,10,Male,5159 Wessex Avenue,34.72,-92.35,13047,26600,0,799,4,Mastercard,Debit,04/2023,YES,1,13555,2007-11-01,2011,No
7502469,2010-01-07 19:26:00,126,5497,339.0,Online Transaction,3558,ONLINE,ONLINE,00000,3640,No Error,"Lighting, Fixtures, Electrical Supplies",1.0,63,65,1956,10,Male,5159 Wessex Avenue,34.72,-92.35,13047,26600,0,799,4,Mastercard,Debit,04/2023,YES,1,13555,2007-11-01,2011,No
7506125,2010-01-08 20:07:00,126,5497,38.41,Online Transaction,59199,ONLINE,ONLINE,00000,5814,No Error,Fast Food Restaurants,1.0,63,65,1956,10,Male,5159 Wessex Avenue,34.72,-92.35,13047,26600,0,799,4,Mastercard,Debit,04/2023,YES,1,13555,2007-11-01,2011,No
7506219,2010-01-08 20:43:00,1600,5050,193.54,Online Transaction,60569,ONLINE,ONLINE,00000,5300,No Error,Wholesale Clubs,1.0,62,66,1957,9,Female,314 Fourth Street,47.67,-122.18,49629,101193,124771,747,3,Mastercard,Debit,05/2021,YES,2,22446,2006-10-01,2012,No
7506395,2010-01-08 22:09:00,1644,3444,146.16,Online Transaction,54773,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,83,65,1937,1,Male,637 Seventh Street,34.66,-83.09,15406,31943,1248,686,6,Visa,Credit,07/2023,YES,1,10900,2009-06-01,2009,No
7506488,2010-01-08 22:54:00,379,2019,5.13,Online Transaction,47399,ONLINE,ONLINE,00000,5815,No Error,"Digital Goods - Media, Books, Apps",1.0,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Mastercard,Debit,02/2020,YES,1,21628,2001-03-01,2008,No
7506610,2010-01-09 01:43:00,379,2019,23.1,Online Transaction,81477,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Mastercard,Debit,02/2020,YES,1,21628,2001-03-01,2008,No
7513807,2010-01-10 19:15:00,1600,5050,188.41,Online Transaction,32858,ONLINE,ONLINE,00000,5311,Insufficient Balance,Department Stores,1.0,62,66,1957,9,Female,314 Fourth Street,47.67,-122.18,49629,101193,124771,747,3,Mastercard,Debit,05/2021,YES,2,22446,2006-10-01,2012,No
7513871,2010-01-10 19:44:00,1600,5050,104.0,Online Transaction,39991,ONLINE,ONLINE,00000,3771,No Error,Railroad Passenger Transport,1.0,62,66,1957,9,Female,314 Fourth Street,47.67,-122.18,49629,101193,124771,747,3,Mastercard,Debit,05/2021,YES,2,22446,2006-10-01,2012,No
7514009,2010-01-10 21:01:00,720,4136,225.36,Online Transaction,31893,ONLINE,ONLINE,00000,5311,No Error,Department Stores,1.0,36,65,1983,5,Female,980 Federal Drive,42.38,-83.1,9710,19800,40038,682,3,Mastercard,Debit,08/2021,YES,1,974,2004-08-01,2008,No
7514254,2010-01-10 23:00:00,720,4136,0.3,Online Transaction,83271,ONLINE,ONLINE,00000,4214,No Error,Motor Freight Carriers and Trucking,1.0,36,65,1983,5,Female,980 Federal Drive,42.38,-83.1,9710,19800,40038,682,3,Mastercard,Debit,08/2021,YES,1,974,2004-08-01,2008,No
7514305,2010-01-10 23:48:00,379,2019,11.94,Online Transaction,47399,ONLINE,ONLINE,00000,5815,No Error,"Digital Goods - Media, Books, Apps",1.0,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Mastercard,Debit,02/2020,YES,1,21628,2001-03-01,2008,No
7517948,2010-01-11 20:24:00,1600,5050,246.85,Online Transaction,55555,ONLINE,ONLINE,00000,5712,No Error,"Furniture, Home Furnishings, and Equipment Stores",1.0,62,66,1957,9,Female,314 Fourth Street,47.67,-122.18,49629,101193,124771,747,3,Mastercard,Debit,05/2021,YES,2,22446,2006-10-01,2012,No
7518102,2010-01-11 21:45:00,727,4295,55.85,Online Transaction,77020,ONLINE,ONLINE,00000,5816,No Error,Digital Goods - Games,1.0,44,68,1975,5,Male,310 Bayview Boulevard,38.63,-90.24,19874,40522,81572,801,5,Mastercard,Debit,04/2018,YES,1,19086,2009-08-01,2011,No
7521993,2010-01-12 21:02:00,1048,2542,1014.41,Online Transaction,9026,ONLINE,ONLINE,00000,4411,No Error,Cruise Lines,1.0,59,63,1960,12,Female,265 Ocean Drive,29.79,-95.82,26422,53878,78143,779,4,Mastercard,Debit,06/2014,YES,2,22527,2007-04-01,2011,No
7522354,2010-01-13 02:11:00,1644,3444,8.3,Swipe Transaction,82402,Funafuti,Tuvalu,TUV00,4121,No Error,Taxicabs and Limousines,1.0,83,65,1937,1,Male,637 Seventh Street,34.66,-83.09,15406,31943,1248,686,6,Visa,Credit,07/2023,YES,1,10900,2009-06-01,2009,No
7525132,2010-01-13 15:43:00,1600,5050,104.0,Online Transaction,39991,ONLINE,ONLINE,00000,3771,No Error,Railroad Passenger Transport,1.0,62,66,1957,9,Female,314 Fourth Street,47.67,-122.18,49629,101193,124771,747,3,Mastercard,Debit,05/2021,YES,2,22446,2006-10-01,2012,No
7533638,2010-01-15 22:32:00,379,2019,24.71,Online Transaction,41184,ONLINE,ONLINE,00000,5310,No Error,Discount Stores,1.0,47,65,1972,11,Female,837 Lincoln Avenue,30.68,-88.04,21331,43496,114563,765,3,Mastercard,Debit,02/2020,YES,1,21628,2001-03-01,2008,No
7533797,2010-01-16 01:56:00,1048,2542,95.92,Online Transaction,41184,ONLINE,ONLINE,00000,5310,No Error,Discount Stores,1.0,59,63,1960,12,Female,265 Ocean Drive,29.79,-95.82,26422,53878,78143,779,4,Mastercard,Debit,06/2014,YES,2,22527,2007-04-01,2011,No
